"","SN_C1","SN_C2","SN_C3","SN_C4","SN_C5","SN_PD1","SN_PD2","SN_PD3","SN_PD4","SN_PD5"
"ENSG00000000003",571.85,315.219,389.834,584.304,217.081,651.115,401.524,492.588,473.13,581.445
"ENSG00000000005",13,6,1,3,3,8,2,1,11,3
"ENSG00000000419",739,384,466,790,352,654,302,470,623,724
"ENSG00000000457",425.115,238.195,260.008,400.676,211.388,390.69,94.868,311.857,366.611,314.765
"ENSG00000000460",243.755,141.754,142.842,228.552,105.996,264.696,56.77,192.422,249.549,229.388
"ENSG00000000938",505,242,328,695,133,276.999,469.001,382,259,473
"ENSG00000000971",2359.463,1609.223,1687.848,2679.485,536,1276.811,1991.993,2004.18,2902.43,3777.596
"ENSG00000001036",1621,782.001,732.546,1243.327,541.107,1292.223,439.44,1165.188,1188.001,909.359
"ENSG00000001084",2420.62,1916.267,1881.658,2324.807,1141.203,2838.637,1033.803,1949.901,3040.233,2335.828
"ENSG00000001167",1138,726,766,1207,595,1262,626,1012,1162,1025
"ENSG00000001460",475.142,396.586,398.199,682.112,363.479,610.772,262.876,487.315,542.666,523.442
"ENSG00000001461",7720.19,6433.11,6394.909,8796.98,5009.712,9222.684,3553.989,8010.943,8689.231,7460.241
"ENSG00000001497",1707.999,1192,1463,1952,1151.999,1772,881.001,1340,1665,1423
"ENSG00000001561",3108,2347,2255,3049,1434,3858,1120,3176,3731,3403
"ENSG00000001617",467,330,221,717,182,271,554,248,348,549.001
"ENSG00000001626",70,74,77,66,57.103,113,6,35,83.001,31
"ENSG00000001629",3495,2624,2573.999,3774,1931,4172,1539,3003,3912,3494.001
"ENSG00000001630",3500.112,1901.681,2552.394,4511.737,2224.355,4014.714,1900.505,3723.181,3427.471,3316.938
"ENSG00000001631",1239.436,801.149,834.699,1606.436,633.517,1406.026,556.048,1128.797,1359.842,1417.123
"ENSG00000002016",340.115,314.198,490.063,673.741,305.515,692.607,405.119,543.397,574.742,704.188
"ENSG00000002079",3,2,0,4,1,1,1,0,0,0
"ENSG00000002330",1184,727,828.001,1057,552,933,696.001,654,778,810.001
"ENSG00000002549",4778.847,1577.872,1360.984,3697.881,1159.984,2203.943,1282.914,2098.875,2305.944,1835.944
"ENSG00000002586",5059.999,1717.999,4522,5555,2150.001,3164.999,2119,4948.001,4763,4696.001
"ENSG00000002587",219.438,147.203,107.876,183.59,75.237,151.874,151.884,135.195,120.339,204.5
"ENSG00000002726",0,0,4.898,5.856,0,1.073,2.005,2.484,5.053,8.138
"ENSG00000002745",8,9,1,19,2,13,8,5,12,19
"ENSG00000002746",504.434,225.183,261.877,672.535,454.231,481.407,97.515,406.827,412.6,224.561
"ENSG00000002822",697.946,373,420.448,694.824,363.975,553.877,224.999,497.897,551.799,359.864
"ENSG00000002834",4061.599,1820.541,1913.296,3670.489,1872.838,3060.246,2319.641,2456.471,2705.187,2544.26
"ENSG00000002919",739.08,512.006,518.499,876.3,429.176,756.876,442.2,564.257,715.286,682.813
"ENSG00000002933",820,450,456.999,1010,317,640,635.999,436,707.999,669
"ENSG00000003056",3123.816,1488.001,1541.001,2774.002,1263.383,2425.551,1365.997,2019.999,2257.785,2077.727
"ENSG00000003096",651.435,296.002,216,767,338,457.999,110,370,383,217
"ENSG00000003137",417,122,810,669,1033,208,116,619,146.999,153
"ENSG00000003147",448.214,280.763,238.445,483.743,299.858,429.838,52.188,287,373.199,223.942
"ENSG00000003249",759.792,820.893,516.843,1027.874,613.387,894.36,288.124,499.618,636.036,433
"ENSG00000003393",1352.026,728.129,1006.244,1634.011,782,1408.245,586.218,1176.001,1213.558,1212.995
"ENSG00000003400",340.884,138.793,211.897,358.406,151.692,242.677,266.599,232.114,284.722,309.562
"ENSG00000003402",4383.644,2195.007,3137.185,4703.433,2050.84,4221.696,2949.515,3317.538,3707.837,4526.304
"ENSG00000003436",570.751,309.408,307.533,374.538,162.493,263.38,251.622,292.361,526.636,565.608
"ENSG00000003509",507.907,297.396,352.196,660.565,276.948,510.305,235.266,452.364,500.158,469.223
"ENSG00000003756",5548.412,4598.687,5437.956,8605.112,4168.388,7572.51,2919.536,5375.984,7419.639,6623.511
"ENSG00000003987",950,675,766,1178,765.999,1221,189,934,1177.999,642
"ENSG00000003989",831,443,667,1053,246,664.005,416.592,744.001,1004,1162
"ENSG00000004059",2118.653,1248.999,1422.25,2347.863,1285.001,1632.364,802,1345.68,1559.894,1142.89
"ENSG00000004139",984.927,495.071,727.992,949.712,614.824,974.699,349.299,695.755,923.971,734.257
"ENSG00000004142",2091,1292,1358,2086,1154,1769,992,1232,1550,1248
"ENSG00000004399",4428,2117,2704.998,4246,1968.999,3720.001,2439,3052,3961,2627
"ENSG00000004455",2882.496,1447,1509,2592.642,1129.629,2151.56,1119.999,1839.478,2444.001,2047.001
"ENSG00000004468",612.619,347.749,416.612,388.669,233.381,494.449,82.109,196.701,487.412,220.193
"ENSG00000004478",3408,2812,2510.969,8018.998,2916,5930,10247.999,3775.999,4698,8192
"ENSG00000004487",1389,698,846,1551.998,729,1300.001,571.001,995,1211,1085.999
"ENSG00000004534",3537.048,2322.513,3052.365,5713.631,2043.607,5011.253,3570.322,3751.959,3798.531,5052.648
"ENSG00000004660",911.331,475.956,587.821,1078.283,785.194,844.876,236.506,694.13,712.919,453.359
"ENSG00000004700",1194.049,474,516.022,963.571,370.044,812.039,377.017,739.025,891.108,795.58
"ENSG00000004766",926.13,513.005,622.102,1156.147,579.438,1020.04,349.394,731.173,941.782,801.043
"ENSG00000004776",723,730,783.957,1030.96,582.966,707,629,486,795,867
"ENSG00000004777",1498,949,1317.999,1512.001,997.999,1542,553.001,964,1274,968
"ENSG00000004779",1442.999,812,868,1801,791.001,1340,668,977,1165,991
"ENSG00000004799",3685.001,4356,3932.999,4626,1349,4925,3979.999,3827,4312,8936.001
"ENSG00000004809",6,5,4,16.001,3,7.999,3,2,8,9
"ENSG00000004838",97.683,40.303,131.419,128.274,88.711,141.463,154.587,144.428,96.273,208.601
"ENSG00000004846",20.756,11.215,11.466,24.627,3.158,25.29,9.684,20.768,16.14,13.077
"ENSG00000004848",6,10,5,2,4,1,4,3,8,12
"ENSG00000004864",1218,871,1002.999,1022,616.999,1188,240.001,881,1203,836.001
"ENSG00000004866",441.492,273,288.105,584.597,259,371.305,267,330.445,430.397,436.955
"ENSG00000004897",1919.929,899.978,1017.766,1780.796,928.849,1581.786,523,1315.974,1625.296,1408.995
"ENSG00000004939",40.733,68.037,46.157,60.806,13.892,24.705,39.474,34.861,57.907,70.386
"ENSG00000004948",47,11,19,70.999,27,67,8,68,73,22
"ENSG00000004961",382,205,207,504,214,372,229,295,366,319
"ENSG00000004975",866.667,510.02,672.763,909.405,462.007,911.493,487.624,678.75,792.43,716.323
"ENSG00000005001",1,0,0,0,1,0,0,0,2,0
"ENSG00000005007",2718,1864,2047,3137.999,1502,2958.999,1601,2366.999,2649.999,2442.999
"ENSG00000005020",1173.158,487.492,658.526,1170.629,477.018,855.194,450.457,1025.438,973.196,903.594
"ENSG00000005022",4985.987,2820.977,2664.969,5442.954,2432.997,4037.917,2331.97,3025.965,3804.963,2701.794
"ENSG00000005059",483.999,74,121,158,47,127,80,97,131.001,122.999
"ENSG00000005073",1,0,1,0,0,0,0,0,0,0
"ENSG00000005075",1013.531,613.917,726.178,948.346,444.969,831.809,759.213,662.301,801.701,794.861
"ENSG00000005100",785.216,497.074,533.141,835.954,395.754,732.89,259.483,603.263,733.854,659.997
"ENSG00000005102",0,0,0,0,0,0,0,0,0,0
"ENSG00000005108",818,429,518,961,426,942,371,595,881,810
"ENSG00000005156",701.07,379.311,488.641,773.052,437.15,715.489,277.472,538.313,693.742,567.112
"ENSG00000005175",904.666,450.976,505.485,969.101,431.156,875.648,320.473,793.347,814.212,813.71
"ENSG00000005187",35.864,44.637,31.412,56.569,16.102,29.036,21.828,32.403,42.909,38.967
"ENSG00000005189",67.128,40.094,43.301,98.171,35.031,62.876,17.014,64.964,67.015,44.585
"ENSG00000005194",952.001,518.999,539,1124,605,809.999,356,633.001,735.001,560
"ENSG00000005206",1914.291,1135.864,1663.77,1952.235,1182.495,2147.094,705.935,1552.869,1675.304,1254.323
"ENSG00000005238",1417,875,950,1120,702,985,450.001,719,1109,680.001
"ENSG00000005243",273,149,187,271,100.999,217,120,183.001,194.001,170
"ENSG00000005249",1036,471,536,1037,427,856,280,663,886,720
"ENSG00000005302",978.818,550.361,586.291,1122.381,462.958,927.008,590.882,830.934,892.608,941.916
